,Latitude,Longitude,Precipitation(MM),Humidity,Temperature,Wind Speed,Wind Gust,Cloud Cover,Date
73,35.3477,-120.6269,0,49,91,4,7,3,8/16/15
58,37.83618,-120.61691,0,27,95,5,7,62,8/15/15
49,38.052,-120.5577,0,39,89,6,9,0,8/13/15
84,40.400196,-120.553075,0,27,84,6,9,0,9/9/15
85,40.400196,-120.553075,0,27,84,6,9,0,9/9/15
41,38.776,-120.404,0,48,77,4,6,1,7/23/15
82,38.04684,-120.30188,0,15,90,6,11,0,9/8/15
66,34.9522,-120.2903,0,75,78,8,11,5,8/1/15
7,35.77937,-120.19482,0,20,97,5,8,0,6/15/15
57,37.823,-120.15644,0,18,98,6,10,0,7/29/15
69,40.938,-120.105,0,44,82,6,9,1,8/3/15
18,38.598056,-119.751944,0,39,65,6,13,2,6/19/15
15,37.072561,-119.6958,0,15,89,5,8,0,6/21/15
94,34.4828,-119.63216,0,52,71,10,17,0,10/29/15
14,37.165767,-119.523943,0,20,92,5,8,6,6/18/15
48,37.279722,-119.50014,0,32,81,4,7,0,7/25/15
91,34.31953,-119.34512,0,56,49,12,19,3,12/25/15
90,36.874,-118.905,1.7,50,66,4,6,30,7/31/15
61,36.49845,-118.9009,0,28,99,4,6,19,7/30/15
92,34.15,-118.879444,0,36,71,9,16,1,11/7/15
37,36.085212,-118.824235,0,57,96,5,8,9,7/21/15
52,36.24,-118.54,0.1,48,91,5,8,16,7/19/15
19,34.361007,-118.535793,0,41,90,5,6,0,6/24/15
31,33.7626,-117.7274,0,67,80,5,6,0,7/13/15
35,34.367,-117.683,0,27,92,8,12,1,7/17/15
3,33.884313,-117.642759,0,38,82,4,6,0,4/18/15
34,34.339,-117.478,0,26,93,8,12,2,7/17/15
30,33.986204,-117.43942,0,51,90,5,7,3,7/12/15
70,33.4115972,-117.2886249,0,74,83,4,5,12,8/9/15
20,34.165974,-117.243878,0,24,95,4,7,0,6/25/15
28,34.0783472,-117.0487863,0,39,86,4,7,8,7/12/15
1,32.6449163,-116.9454387,0.1,62,78,5,6,35,6/26/15
12,34.16027778,-116.8927778,0,21,95,7,10,0,6/17/15
78,34.23,-116.883,0,27,92,3,5,3,8/23/15
44,33.383889,-116.868611,0,62,87,4,5,0,7/24/15
11,32.9421,-116.8534,0,61,81,2,4,0,6/17/15
33,33.21407,-116.73472,0,60,84,4,6,0,7/16/15
63,33.5736,-116.5387,0,36,88,6,11,0,8/10/15
45,32.682547,-116.51684,0,40,89,5,8,0,7/24/15
